algorithm,prediction_multiplier,cr
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.1,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.5,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,0.8,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
Bayesian,1.0,1.0
